Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
AXON.US,Axon Enterprise,US,USD,566.56,518.30,-8.52%
CDNS.US,Cadence Design,US,USD,338.78,313.04,-7.60%
CRWD.US,CrowdStrike Holdings,US,USD,231.00,215.07,-6.90%
ODFL.US,Old Dominion Freight,US,USD,199.96,187.01,-6.48%
CIEN.US,Ciena Corp,US,USD,382.80,360.33,-5.87%
SNPS.US,Synopsys Inc,US,USD,439.59,414.82,-5.63%
DDOG.US,Datadog,US,USD,237.04,223.84,-5.57%
BLDR.US,Builders FirstSource,US,USD,66.40,62.79,-5.44%
TOELY.US,Tokyo Electron (ADR),US,USD,175.33,165.90,-5.38%
FTNT.US,Fortinet Inc,US,USD,170.93,161.85,-5.31%
BZZUY.US,Buzzi (ADR),US,USD,24.50,23.20,-5.31%
PANW.US,Palo Alto Networks,US,USD,382.13,362.09,-5.24%
ORCL.US,Oracle Corp,US,USD,149.12,141.32,-5.23%
LITE.US,Lumentum Holdings,US,USD,914.76,868.95,-5.01%
