ticker,name,exchange,index
A.US,Agilent Technologies,US,S&P 500
AAPL.US,Apple Inc,US,S&P 500
ABBV.US,AbbVie Inc,US,S&P 500
ABNB.US,Airbnb Inc,US,S&P 500
ABT.US,Abbott Laboratories,US,S&P 500
ACGL.US,Arch Capital Group,US,S&P 500
ACN.US,Accenture plc,US,S&P 500
ADBE.US,Adobe Inc,US,S&P 500
ADI.US,Analog Devices,US,S&P 500
ADM.US,Archer-Daniels-Midland,US,S&P 500
ADP.US,Automatic Data Processing,US,S&P 500
ADSK.US,Autodesk Inc,US,S&P 500
AEE.US,Ameren Corp,US,S&P 500
AEP.US,American Electric Power,US,S&P 500
AES.US,AES Corp,US,S&P 500
AFL.US,Aflac Inc,US,S&P 500
AIG.US,American International Group,US,S&P 500
AIZ.US,Assurant Inc,US,S&P 500
AJG.US,Arthur J Gallagher,US,S&P 500
AKAM.US,Akamai Technologies,US,S&P 500
ALB.US,Albemarle Corp,US,S&P 500
ALGN.US,Align Technology,US,S&P 500
ALL.US,Allstate Corp,US,S&P 500
ALLE.US,Allegion plc,US,S&P 500
AMAT.US,Applied Materials,US,S&P 500
AMCR.US,Amcor plc,US,S&P 500
AMD.US,Advanced Micro Devices,US,S&P 500
AME.US,AMETEK Inc,US,S&P 500
AMGN.US,Amgen Inc,US,S&P 500
AMP.US,Ameriprise Financial,US,S&P 500
AMT.US,American Tower,US,S&P 500
AMZN.US,Amazon.com Inc,US,S&P 500
ANET.US,Arista Networks,US,S&P 500
ANSS.US,ANSYS Inc,US,S&P 500
AON.US,Aon plc,US,S&P 500
AOS.US,A.O. Smith Corp,US,S&P 500
APA.US,APA Corp,US,S&P 500
APD.US,Air Products,US,S&P 500
APH.US,Amphenol Corp,US,S&P 500
APTV.US,Aptiv plc,US,S&P 500
ARE.US,Alexandria Real Estate,US,S&P 500
ATO.US,Atmos Energy,US,S&P 500
AVB.US,AvalonBay Communities,US,S&P 500
AVGO.US,Broadcom Inc,US,S&P 500
AVY.US,Avery Dennison,US,S&P 500
AWK.US,American Water Works,US,S&P 500
AXON.US,Axon Enterprise,US,S&P 500
AXP.US,American Express,US,S&P 500
AZO.US,AutoZone Inc,US,S&P 500
BA.US,Boeing Co,US,S&P 500
BAC.US,Bank of America,US,S&P 500
BALL.US,Ball Corp,US,S&P 500
BAX.US,Baxter International,US,S&P 500
BBWI.US,Bath & Body Works,US,S&P 500
BBY.US,Best Buy Co,US,S&P 500
BDX.US,Becton Dickinson,US,S&P 500
BEN.US,Franklin Resources,US,S&P 500
BF-B.US,Brown-Forman Corp,US,S&P 500
BG.US,Bunge Ltd,US,S&P 500
BIIB.US,Biogen Inc,US,S&P 500
BIO.US,Bio-Rad Laboratories,US,S&P 500
BK.US,Bank of New York Mellon,US,S&P 500
BKNG.US,Booking Holdings,US,S&P 500
BKR.US,Baker Hughes,US,S&P 500
BLDR.US,Builders FirstSource,US,S&P 500
BLK.US,BlackRock Inc,US,S&P 500
BMY.US,Bristol-Myers Squibb,US,S&P 500
BR.US,Broadridge Financial,US,S&P 500
BRK-B.US,Berkshire Hathaway B,US,S&P 500
BRO.US,Brown & Brown,US,S&P 500
BSX.US,Boston Scientific,US,S&P 500
BWA.US,BorgWarner Inc,US,S&P 500
BX.US,Blackstone Inc,US,S&P 500
BXP.US,Boston Properties,US,S&P 500
C.US,Citigroup Inc,US,S&P 500
CAG.US,Conagra Brands,US,S&P 500
CAH.US,Cardinal Health,US,S&P 500
CARR.US,Carrier Global,US,S&P 500
CAT.US,Caterpillar Inc,US,S&P 500
CB.US,Chubb Ltd,US,S&P 500
CBOE.US,Cboe Global Markets,US,S&P 500
CBRE.US,CBRE Group,US,S&P 500
CCI.US,Crown Castle,US,S&P 500
CCL.US,Carnival Corp,US,S&P 500
CDNS.US,Cadence Design,US,S&P 500
CDW.US,CDW Corp,US,S&P 500
CE.US,Celanese Corp,US,S&P 500
CEG.US,Constellation Energy,US,S&P 500
CF.US,CF Industries,US,S&P 500
CFG.US,Citizens Financial,US,S&P 500
CHD.US,Church & Dwight,US,S&P 500
CHRW.US,C.H. Robinson,US,S&P 500
CHTR.US,Charter Communications,US,S&P 500
CI.US,Cigna Group,US,S&P 500
CINF.US,Cincinnati Financial,US,S&P 500
CL.US,Colgate-Palmolive,US,S&P 500
CLX.US,Clorox Co,US,S&P 500
CMA.US,Comerica Inc,US,S&P 500
CMCSA.US,Comcast Corp,US,S&P 500
CME.US,CME Group,US,S&P 500
CMG.US,Chipotle Mexican Grill,US,S&P 500
CMI.US,Cummins Inc,US,S&P 500
CMS.US,CMS Energy,US,S&P 500
CNC.US,Centene Corp,US,S&P 500
CNP.US,CenterPoint Energy,US,S&P 500
COF.US,Capital One Financial,US,S&P 500
COO.US,Cooper Companies,US,S&P 500
COP.US,ConocoPhillips,US,S&P 500
COR.US,Cencora Inc,US,S&P 500
